                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.3972,                 3.2101,                 1.2404,                 1.2322,                0.44968,                0.20688,                0.19577,                0.10566,                0.38806,                0.16853,                0.14951,                0.06951,                 2.0325,                 4.0713,                 1.8691,                  1.539,             0.00038418,             0.00038418,             0.00038418
                     61,                 1.3681,                 3.2033,                 1.2185,                 1.2333,                0.48569,                0.20717,                0.19875,                0.11127,                0.43833,                0.17326,                 0.1499,                0.07201,                 2.0074,                 4.0904,                 1.8284,                 1.5225,             0.00038332,             0.00038332,             0.00038332
                     62,                 1.3675,                 3.1728,                 1.2088,                 1.2223,                0.55338,                0.21163,                0.20421,                0.11034,                0.49715,                 0.1742,                0.15002,                0.07164,                 2.0282,                 4.1112,                 1.8304,                 1.5405,             0.00038246,             0.00038246,             0.00038246
                     63,                 1.3922,                  3.212,                 1.2092,                 1.2206,                0.44618,                0.22259,                0.20432,                0.11117,                 0.4167,                0.18223,                0.15422,                0.07147,                 2.0211,                 4.1136,                 1.8305,                 1.5381,              0.0003816,              0.0003816,              0.0003816
                     64,                 1.3732,                 3.2087,                 1.1979,                 1.2141,                0.42115,                0.22391,                0.20792,                0.11121,                0.36907,                0.17934,                0.15146,                0.06958,                 2.0089,                 4.0363,                  1.796,                 1.5193,             0.00038074,             0.00038074,             0.00038074
                     65,                 1.3896,                 3.2077,                 1.2104,                 1.2294,                0.48944,                  0.219,                0.20756,                0.10906,                0.44881,                0.17646,                 0.1529,                0.06674,                 2.0136,                  4.029,                 1.8062,                 1.5423,             0.00037988,             0.00037988,             0.00037988
                     66,                 1.3706,                 3.1866,                 1.1898,                  1.222,                0.49004,                0.21823,                0.20617,                0.10997,                0.45283,                0.16666,                0.14544,                0.06729,                 2.0087,                 4.0459,                 1.7957,                 1.5222,             0.00037902,             0.00037902,             0.00037902
                     67,                 1.3638,                 3.2051,                 1.1954,                 1.2157,                0.40813,                0.20938,                0.18811,                0.09941,                0.35335,                0.15847,                0.13216,                0.05918,                 2.0322,                 4.0591,                 1.8259,                 1.5439,             0.00037815,             0.00037815,             0.00037815
                     68,                  1.356,                 3.1505,                 1.1568,                 1.2087,                0.32857,                0.22387,                0.19566,                0.10679,                0.37944,                0.17559,                0.13774,                0.06475,                 2.0308,                 4.0566,                 1.8071,                 1.5257,             0.00037729,             0.00037729,             0.00037729
                     69,                 1.3756,                 3.1835,                 1.1952,                 1.2181,                 0.3744,                0.22779,                0.19661,                0.10851,                0.36625,                0.17383,                0.13578,                0.06537,                  2.024,                 4.0653,                 1.8137,                 1.5013,             0.00037643,             0.00037643,             0.00037643
                     70,                 1.3756,                 3.1458,                 1.1611,                 1.2076,                0.43359,                 0.2245,                0.20158,                0.11202,                0.38396,                 0.1763,                0.14849,                0.06724,                 2.0095,                 4.0344,                 1.7869,                 1.5054,             0.00037557,             0.00037557,             0.00037557
                     71,                 1.3394,                  3.143,                 1.1394,                 1.2073,                0.42255,                0.22109,                0.20624,                 0.1128,                0.36117,                0.17466,                0.14286,                0.06523,                 1.9848,                 4.0322,                 1.7222,                 1.5007,             0.00037471,             0.00037471,             0.00037471
                     72,                 1.3379,                 3.1779,                 1.1339,                 1.1847,                0.36394,                0.23657,                0.21674,                0.11516,                0.31242,                0.17957,                0.15059,                0.06602,                  1.964,                 4.0641,                 1.6933,                 1.5052,             0.00037385,             0.00037385,             0.00037385
                     73,                 1.3371,                 3.1261,                 1.1509,                 1.2036,                0.39004,                0.21836,                0.21435,                0.11398,                0.31614,                0.16866,                0.14695,                0.06476,                 1.9751,                 4.0609,                 1.7197,                 1.5295,             0.00037299,             0.00037299,             0.00037299
